material_id,formula_pretty,working_ion,framework_formula,energy_above_hull,is_stable,pred_average_voltage,pred_max_delta_volume
mp-4622,Li2BeF4,Li,BeF4,0.0,True,5.696194,0.08598875254392624
mp-35759,Li2NiF4,Li,NiF4,0.0,True,5.6857347,0.08598875254392624
mp-1932798,CaCr2F12,Ca,CrF6,0.0,True,5.539319,0.08598875254392624
mp-5926,KCaF3,Ca,KF3,0.0,True,5.3912473,0.08598875254392624
mp-1354389,Ba2CaCo2CuF14,Ca,Ba2Co2CuF14,0.0,True,5.354031,0.08598875254392624
mp-15254,Li3AlF6,Li,AlF6,0.0,True,5.279366,0.08598875254392624
mp-776627,Li3FeF6,Li,FeF6,0.0,True,5.2792497,0.08598875254392624
mp-1211093,LiCaFeF6,Ca,LiFeF6,0.0,True,5.278087,0.08598875254392624
mp-37458,Na2HF4,Na,HF4,0.0,True,5.2121944,0.08598875254392624
mp-559584,LiCaNiF6,Ca,LiNiF6,0.0,True,5.2115383,0.08598875254392624
mp-556792,LiCaCrF6,Ca,LiCrF6,0.0,True,5.196979,0.08598875254392624
mp-1198120,CaSiH4(OF3)2,Ca,SiH4(OF3)2,0.0,True,5.180511,0.08598875254392624
mp-1193269,Li2SiF6,Li,SiF6,0.0,True,5.0988235,0.08598875254392624
mp-1323553,CaNiF6,Ca,NiF6,0.0,True,5.0949497,0.08598875254392624
mp-1194281,Li2Co(SO4)2,Li,Co(SO4)2,0.0,True,5.068863,0.08598875254392624
mp-7104,CsCaF3,Ca,CsF3,0.0,True,5.054095,0.08598875254392624
mp-1210276,Na6Ni(SO4)4,Na,Ni(SO4)4,0.0,True,5.0484767,0.08598875254392624
mp-560929,Na3CrF6,Na,CrF6,0.0,True,5.047625,0.08598875254392624
mp-646192,NaCrF6,Na,CrF6,0.0,True,5.047625,0.08598875254392624
mp-30301,LiClO4,Li,ClO4,0.0,True,5.0306635,0.08598875254392624
