material_id	formula_pretty	energy_above_hull	formation_energy_per_atom	is_stable	density	volume	nsites	band_gap	is_metal	theoretical	working_ion	framework_formula	n_possible_working_ions	pred_average_voltage	pred_max_delta_volume	volume_prediction_valid	pareto
mp-1183078	Ac2MgPb	0	-0.26746134	True	8.045456053	141.4845631	4	0	True	True	Mg	Ac2Pb	1	0.06228426	1.806978345	True	False
mp-866103	Ac2MgSn	0	-0.344917514	True	7.178167079	138.1086176	4	0	True	True	Mg	Ac2Sn	1	0.027360672	1.846032619	True	False
mp-1183066	Ac2ZnAu	0.008908271	-0.542450432	False	10.02064841	118.711841	4	0	True	True	Zn	Ac2Au	1	0.41655102	4.44971323	True	False
mp-865535	Ac2ZnGa	0.004478638	-0.378247717	False	8.153142169	119.9876909	4	0	True	True	Zn	Ac2Ga	1	0.25479943	4.74153471	True	False
mp-866018	Ac2ZnGe	0	-0.457048125	True	8.337439925	117.9163513	4	0	True	True	Zn	Ac2Ge	1	0.24130285	4.598614216	True	False
mp-1183067	Ac2ZnHg	0	-0.384465557	True	9.50263323	125.8163332	4	0	True	True	Zn	Ac2Hg	1	0.28169113	4.653749466	True	False
mp-1183106	Ac2ZnIn	0	-0.385861482	True	8.061589189	130.6390945	4	0	True	True	Zn	Ac2In	1	0.25157535	1.883870363	True	False
mp-865398	Ac2ZnIr	0.029086867	-0.414113235	False	10.92097902	108.2030075	4	0	True	True	Zn	Ac2Ir	1	0.18048452	4.714145184	True	False
mp-1183268	AcEuMg2	0.010390521	-0.054028739	False	5.187278237	136.8739635	4	0	True	True	Mg	AcEu	1	2.8303826	1.858879805	True	False
mp-1183124	AcEuZn2	0	-0.261695902	True	7.50316151	112.8208325	4	0	True	True	Zn	AcEu	1	1.2792245	4.996277332	True	False
mp-1183101	AcLaMg2	0.012519636	-0.067829229	False	5.177322336	132.9488658	4	0	True	True	Mg	AcLa	1	0.07563633	1.873735189	True	False
mp-865979	AcMgCd2	0	-0.238415764	True	7.124020767	110.9805138	4	0	True	True	Mg	AcCd2	1	0.046940092	4.768161774	True	False
mp-1183182	AcMgZn2	0	-0.235832424	True	6.562466758	96.6908015	4	0	True	True	Zn	AcMg	2	0.5529298	5.017134666	True	False
mp-1183179	AcNdMg2	0.021256512	-0.055583685	False	5.438492593	128.1937297	4	0	True	True	Mg	AcNd	1	2.3208997	1.872563481	True	False
mp-1183181	AcPrMg2	0.017942212	-0.057254359	False	5.302762231	130.4308586	4	0	True	True	Mg	AcPr	1	1.9584314	1.873069763	True	False
mp-979950	AcYbMg2	0.037518067	-0.042261126	False	6.124934256	121.634098	4	0	True	True	Mg	AcYb	1	0.19669323	4.871815205	True	False
mp-1183190	AcZn2In	0.024936667	-0.416209143	False	7.981026181	98.33704659	4	0	True	True	Zn	AcIn	1	0.21300617	4.903582096	True	False
mp-1215020	Al2(Zn13Pd3)3	0	-0.301756588	True	7.846327474	1507.964771	100	0	True	True	Zn	Al2Pd9	1	0.088512644	4.950329304	True	False
mp-1228987	Al2(ZnS2)3	0.024000783	-1.08366446	False	3.143811765	233.7676566	11	2.753794982	False	True	Zn	AlS3	1	0.8777426	0.085988753	True	False
mp-1228522	Al2Zn2S5	0.012686238	-1.12719387	False	3.073320511	372.9270163	18	3.7426	False	True	Zn	Al2S5	1	0.042828973	0.085988753	True	False
mp-2908	Al2ZnO4	0	-3.021072629	True	4.625888669	131.6471428	14	3.846	False	False	Zn	AlO2	1	0.7649167	0.085988753	True	False
mp-7908	Al2ZnTe4	0	-0.704937984	True	4.827294167	216.6350553	7	1.6274	False	False	Zn	AlTe2	1	0.22720663	0.742725134	True	False
mp-1228973	Al3ZnCr8	0.01643688	-0.035774	False	6.122624498	152.5094902	12	0	True	True	Zn	Al3Cr8	1	0.46949086	5.237190723	True	False
mp-1229039	Al3ZnNi12	0.004389708	-0.353053207	False	7.772228029	181.7468681	16	0	True	True	Zn	AlNi4	1	0.058721613	8.409716606	True	False
