material_id,formula_pretty,energy_above_hull,formation_energy_per_atom,is_stable,density,volume,nsites,band_gap,is_metal,theoretical,working_ion,framework_formula,n_possible_working_ions,pred_average_voltage,pred_max_delta_volume,volume_prediction_valid,pareto
mp-1183078,Ac2MgPb,0.0,-0.26746134000000055,True,8.045456053051035,141.4845630793459,4,0.0,True,True,Mg,Ac2Pb,1,0.06228426,1.8069783449172974,True,False
mp-866103,Ac2MgSn,0.0,-0.3449175137499987,True,7.17816707875468,138.1086176115119,4,0.0,True,True,Mg,Ac2Sn,1,0.027360672,1.8460326194763184,True,False
mp-1183066,Ac2ZnAu,0.008908270597764556,-0.5424504324999972,False,10.020648406119946,118.71184100399978,4,0.0,True,True,Zn,Ac2Au,1,0.41655102,4.449713230133057,True,False
mp-865535,Ac2ZnGa,0.004478638281256053,-0.3782477174999954,False,8.153142169454352,119.98769093173414,4,0.0,True,True,Zn,Ac2Ga,1,0.25479943,4.74153470993042,True,False
mp-866018,Ac2ZnGe,0.0,-0.457048125,True,8.337439924759307,117.91635131252818,4,0.0,True,True,Zn,Ac2Ge,1,0.24130285,4.59861421585083,True,False
mp-1183067,Ac2ZnHg,0.0,-0.38446555687499995,True,9.502633229924305,125.81633323680897,4,0.0,True,True,Zn,Ac2Hg,1,0.28169113,4.653749465942383,True,False
mp-1183106,Ac2ZnIn,0.0,-0.3858614824999975,True,8.061589188526646,130.63909453024385,4,0.0,True,True,Zn,Ac2In,1,0.25157535,1.8838703632354736,True,False
mp-865398,Ac2ZnIr,0.029086866796873778,-0.414113234999995,False,10.920979024138216,108.20300751859664,4,0.0,True,True,Zn,Ac2Ir,1,0.18048452,4.714145183563232,True,False
mp-1183268,AcEuMg2,0.010390521250000617,-0.05402873937500097,False,5.187278236728878,136.87396346453383,4,0.0,True,True,Mg,AcEu,1,2.8303826,1.858879804611206,True,False
mp-1183124,AcEuZn2,0.0,-0.26169590187499914,True,7.503161510148234,112.82083245672415,4,0.0,True,True,Zn,AcEu,1,1.2792245,4.996277332305908,True,False
mp-1183101,AcLaMg2,0.012519636249998634,-0.06782922937500135,False,5.177322335995202,132.9488658299706,4,0.0,True,True,Mg,AcLa,1,0.07563633,1.8737351894378662,True,False
